id,name,code,description,status,approver_id,approved_at,created_at,updated_at,created_by,leader_id,plant_id,cost_center_id
33,TU1611Y3-33-X74Z2_P001,TU1611Y3-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
34,TU1611Y2-33-X74Z2_P001,TU1611Y2-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
35,VHS40-N03A-Z_P001,VHS40-N03A-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
36,VHS40-N03A-RZ_P001,VHS40-N03A-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
37,VHS40-N02B-Z_P001,VHS40-N02B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
38,VHS30-N03B-Z_P001,VHS30-N03B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
39,VHS30-N03B-S-Z_P001,VHS30-N03B-S-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
40,VHS30-N03B-RZ_P001,VHS30-N03B-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
41,VHS30-N03B-KZ_P001,VHS30-N03B-KZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
42,VHS30-N03B-KRZ_P001,VHS30-N03B-KRZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
43,VHS30-N03B-B-Z_P001,VHS30-N03B-B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
44,VHS40-N03B-Z_P001,VHS40-N03B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
45,VHS40-N04A_P001,VHS40-N04A_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
46,VHS40-N04A-RZ_P001,VHS40-N04A-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
47,VHS40-N04A-S-Z_P001,VHS40-N04A-S-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
48,VHS40-N04A-Z_P001,VHS40-N04A-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
49,VHS40-N04B-BS-Z_P001,VHS40-N04B-BS-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
50,VHS40-N04B-KZ_P001,VHS40-N04B-KZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
51,VHS40-N04B-RZ_P001,VHS40-N04B-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
52,VHS40-N04B-S-Z_P001,VHS40-N04B-S-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
53,VHS40-N04B-Z_P001,VHS40-N04B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
54,VHS40-N06A-RZ_P001,VHS40-N06A-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
55,VHS40-N06A-Z_P001,VHS40-N06A-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
56,VHS40-N06B-RZ_P001,VHS40-N06B-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
57,VHS40-N06B-S-Z_P001,VHS40-N06B-S-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
58,VHS40-N06B-Z_P001,VHS40-N06B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
59,VHS4510-N04A-Z_P001,VHS4510-N04A-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
60,VHS4510-N06B-Z_P001,VHS4510-N06B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
61,VHS50-N06A-RZ_P001,VHS50-N06A-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
62,VHS50-N06A-Z_P001,VHS50-N06A-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
63,VHS50-N06B-S-Z_P001,VHS50-N06B-S-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
64,VHS50-N06B-Z_P001,VHS50-N06B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
65,VHS50-N10A-RZ_P001,VHS50-N10A-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
66,VHS50-N10A-S-Z_P001,VHS50-N10A-S-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
67,VHS50-N10A-Z_P001,VHS50-N10A-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
68,VHS50-N10B-S-Z_P001,VHS50-N10B-S-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
