id,name,code,description,status,created_at,updated_at,approver_id,approved_at,work_center_id,created_by,complete_rate,en_name,jp_name,cost_center_id,cost_center_code,routing_id
155,FRL Gia công-Ngoại Quan,FRL_BONDED_WS,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,3,,,654dea19ea2800006600528f,A00445,
156,Spool Gia Công-Gia Công,SPOOL_MACHINING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,91,,,654dea19ea28000066005271,A00350,
157,Spool Gia Công-Tẩy Rửa,SPOOL_CLEANING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,87,,,654dea19ea28000066005271,A00350,
158,Spool Gia Công-Ngoại Quan,SPOOL_BONDED,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,80,,,654dea19ea28000066005271,A00350,
159,Spool Gia Công-Đóng Gói,SPOOL_PACKING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,100,,,654dea19ea28000066005271,A00350,
160,Speakon Lắp Ráp-Assembly 1,SPEAKON_ASSEMBLY1,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,50,,,654dea19ea280000660052a5,A00467,
161,Speakon Lắp Ráp-Assembly 2,SPEAKON_ASSEMBLY2,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,50,,,654dea19ea280000660052a5,A00467,
162,Speakon Lắp Ráp-Assembly 3,SPEAKON_ASSEMBLY3,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,50,,,654dea19ea280000660052a5,A00467,
163,Speakon Lắp Ráp-Ngoại Quan,SPEAKON_BONDED_ASS,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,50,,,654dea19ea280000660052a5,A00467,
164,Speakon Lắp Ráp-Đóng Gói,SPEAKON_PACKING_ASS,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea280000660052a5,A00467,
