id,name,code,description,status,created_at,updated_at,approver_id,approved_at,work_center_id,created_by,complete_rate,en_name,jp_name,cost_center_id,cost_center_code,routing_id
68,FRL Lắp Ráp-Ngoại Quan_AL,FRL_INSPECTION_AL,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,90,,,654dea19ea2800006600527e,A00428,
69,FRL Lắp Ráp-Đóng Gói_AL,FRL_PACKING_AL,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea2800006600527e,A00428,
70,FRL Lắp Ráp-Lắp Ráp_AF,FRL_ASSEMBLY_AF,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,75,,,654dea19ea2800006600527e,A00428,
71,FRL Lắp Ráp-Ngoại Quan_AF,FRL_INSPECTION_AF,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,90,,,654dea19ea2800006600527e,A00428,
72,FRL Lắp Ráp-Đóng Gói_AF,FRL_PACKING_AF,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea2800006600527e,A00428,
73,FRL Lắp Ráp-Lắp Ráp_AC,FRL_ASSEMBLY_AC,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,75,,,654dea19ea2800006600527e,A00428,
74,FRL Lắp Ráp-Ngoại Quan_AC,FRL_INSPECTION_AC,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,90,,,654dea19ea2800006600527e,A00428,
75,FRL Lắp Ráp-Đóng Gói_AC,FRL_PACKING_AC,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea2800006600527e,A00428,
76,SY Gia Công-Gia Công,SY_MACHINING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,80,,,654dea19ea28000066005288,A00438,
77,SY Gia Công-Tẩy Rửa_1,SY_CLEANING_1,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,80,,,654dea19ea28000066005288,A00438,
78,SY Gia Công-Ngoại Quan 1,SY_BONDED_ONE,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,75,,,654dea19ea28000066005288,A00438,
79,SY Gia Công-Xử Lý Nhiệt,SY_HEAT,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,75,,,654dea19ea28000066005288,A00438,
80,Xử Lý Bề Mặt-Rửa ( Xưởng 3),SUR_TREAT_WASH,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,100,,,654dea19ea280000660052b4,A00482,
81,Xử Lý Bề Mặt-Thụ Động Hóa (Xưởng 3),SUR_TREAT_PASSIVATE,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,100,,,654dea19ea280000660052b4,A00482,
82,Xử Lý Bề Mặt-Ngoại Quan ( Xưởng 3),SUR_TREAT_BONDED2,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,100,,,654dea19ea280000660052b4,A00482,
83,Xử Lý Bề Mặt-Đóng Gói (Xưởng 3),SUR_TREAT_PACKING2,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,100,,,654dea19ea280000660052b4,A00482,
84,Xử Lý Bề Mặt-Đánh Bóng Điện (Xưởng 3),SUR_TREAT_ELECT,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,100,,,654dea19ea280000660052b4,A00482,
85,Đùn Nhựa-Đùn Nhựa,PLASTIC_EXTRUSION,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,100,,,654dea19ea2800006600526f,A00330,
86,Xử Lý Bề Mặt-Chromate (Xưởng 10),SUR_TREAT_CHROMATE,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,660242e23bffc0b4510d81c0,A00657,
87,Xử Lý Bề Mặt-Đóng gói (Xưởng 10),SUR_TREAT_PACKING3,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,660242e23bffc0b4510d81c0,A00657,
88,Đùn nhôm-Đùn,ALUMINUM_EXTRUSION,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,660242e23bffc0b4510d81d4,A00677,
89,Đùn nhôm-Ngâm Kiềm,ALUMINUM_ETCHING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,660242e23bffc0b4510d81d4,A00677,
90,Đùn nhôm-Ủ,ALUMINUM_ANNEAL,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,660242e23bffc0b4510d81d4,A00677,
91,Đùn nhôm-Đóng Gói,ALUMINUM_PACKING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,660242e23bffc0b4510d81d4,A00677,
92,Xử Lý Bề Mặt-Shot Treatment (Nhà Máy 3),SUR_TREAT_SHOT,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,660242e23bffc0b4510d81c4,A00661,
93,Xử Lý Bề Mặt-Arumaito Treatment (Nhà Máy 3),SUR_TREAT_ARUMAITO,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,660242e23bffc0b4510d81c4,A00661,
94,Xử Lý Bề Mặt-Ngoại Quan Treatment (Nhà Máy 3),SUR_TREAT_BONDED1,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,660242e23bffc0b4510d81c4,A00661,
95,Xử Lý Bề Mặt-Mạ Niken (Xưởng 1),SUR_TREAT_NICKEL,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,654dea19ea280000660052a3,A00465,
96,Xử Lý Bề Mặt-Đóng Gói (Xưởng 1),SUR_TREAT_PACKING1,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,654dea19ea280000660052a3,A00465,
97,Xử Lý Bề Mặt-Sơn (Xưởng 10),SUR_TREAT_PAINT,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,660242e23bffc0b4510d81c0,A00657,
98,Xử Lý Bề Mặt-Ganshin (Xưởng 10),SUR_TREAT_GANSHIN,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,660242e23bffc0b4510d81c0,A00657,
99,VX Gia Công-Ngoại Quan (VX Khuôn Nhựa),VXRESIN_BONDED,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,100,,,669dc9a6359f3b6ac580548c,A00703,
100,APTech Gia Công-Gia Công_1,APTECH_MACHINING_1,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,82,,,"669dcb3a359f3b6ac5806606, 669dca28359f3b6ac5805a08, 669dcabe359f3b6ac5806014, 669dcb98359f3b6ac5806c52","A00709,  A00705,  A00707,  A00711",
101,APTech Gia Công-Tẩy Rửa,APTECH_CLEANING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,100,,,"669dcbf1359f3b6ac580719f, 669dcccb359f3b6ac5808548","A00713, A00715",
102,APTech Gia Công-Ngoại Quan Xưởng,APTECH_BONDED_WS,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,98,,,"669dcbf1359f3b6ac580719f, 669dcccb359f3b6ac5808548","A00713, A00715",
103,APTech Gia Công-Đóng Gói,APTECH_PACKING_MAC,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,100,,,669dcbf1359f3b6ac580719f,A00713,
104,Đúc-Gia Công Đúc,DIE_CAST,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,80,,,"660242e23bffc0b4510d81b6, 660242e23bffc0b4510d81b8","A00647, A00649",
105,Đúc-Shiage_Shotblash,DIECAST_SHOTBLASH,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,90,,,660242e23bffc0b4510d81be,A00655,
106,Đúc-Shiage_Finishing,DIECAST_FINISHING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,90,,,660242e23bffc0b4510d81be,A00655,
107,SY Gia Công-ShotBlast,SY_SHOTBLAST,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,80,,,654dea19ea28000066005288,A00438,
108,SY Gia Công-Ngoại Quan 2,SY_BONDED_TWO,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,80,,,654dea19ea28000066005288,A00438,
109,VX Gia Công-Đúc (VX Khuôn Nhựa),VXRESIN_DIE_CAST,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,669dc9a6359f3b6ac580548c,A00703,
110,VX Gia Công-Đóng Gói (VX Khuôn Nhựa),VXRESIN_PACKING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,,,,669dc9a6359f3b6ac580548c,A00703,
111,Mold Gia Công-Đúc Nhựa,MOLD_PLASTIC_CAST,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,80,,,654dea19ea28000066005295,A00451,
112,Mold Gia Công-Kiểm Tra - Khắc Lazer,MOLD_LASER_ENGRAVE,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,100,,,654dea19ea28000066005295,A00451,
113,Mold Gia Công-Ngoại Quan,MOLD_BONDED,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,100,,,654dea19ea28000066005295,A00451,
114,Đúc-Shiage_Grinding,DIECAST_GRINDING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,90,,,660242e23bffc0b4510d81be,A00655,
115,Đúc-Shiage_Bavia,DIECAST_BAVIA,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,90,,,660242e23bffc0b4510d81be,A00655,
116,V100 Lắp Ráp-Lắp Ráp_V111-BODY,V100_V111_BODY,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea280000660052b9,A00488,
117,V100 Lắp Ráp-Lắp Ráp_V111-AFTER WELDING,V100_V111_AFTERWELD,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea280000660052b9,A00488,
118,V100 Lắp Ráp-Lắp Ráp_V111-COVER,V100_V111_COVER,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea280000660052b9,A00488,
119,V100 Lắp Ráp-Lắp Ráp_V111-ARMATURE ASSY,V100_V111_ARMATURE,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea280000660052b9,A00488,
120,V100 Lắp Ráp-Lắp Ráp_V111-CIRCUIT BOARD,V100_V111_CIRCUIT,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea280000660052b9,A00488,
121,V100 Lắp Ráp-Lắp Ráp_V111-INSPECTION,V100_V111_INSPECT,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea280000660052b9,A00488,
122,V100 Gia Công-Dập Chân Cực (Winding),V100WINDING_TERMIN,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,50,,,654dea19ea280000660052c1,A00498,
123,V100 Gia Công-Quấn Dây Đồng (Winding),V100WINDING_WINDING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,90,,,654dea19ea280000660052c1,A00498,
124,V100 Gia Công-Ngoại Quan (Winding),V100WINDING_INSPECT,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea280000660052c1,A00498,
125,Aptech Lắp Ráp-Lắp Ráp_1,APTECH_ASSEMBLY1,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,60,,,654dea19ea28000066005279,A00423,
126,Aptech Lắp Ráp-Lắp Ráp_2,APTECH_ASSEMBLY2,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,60,,,654dea19ea28000066005279,A00423,
127,Aptech Lắp Ráp-Lắp Ráp_3,APTECH_ASSEMBLY3,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,60,,,654dea19ea28000066005279,A00423,
128,Aptech Lắp Ráp-Lắp Ráp_4,APTECH_ASSEMBLY4,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,60,,,654dea19ea28000066005279,A00423,
129,Aptech Lắp Ráp-Lắp Ráp_Kiểm tra,APTECH_INSPECTION,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,75,,,654dea19ea28000066005279,A00423,
130,Aptech Lắp Ráp-Lắp Ráp_Ngoại quan,APTECH_APPREARANCE,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,75,,,654dea19ea28000066005279,A00423,
131,Aptech Lắp Ráp-Đóng gói,APTECH_PACKING_ASS,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,90,,,654dea19ea28000066005279,A00423,
132,VX Lắp Ráp-Sub_Ép Tube,VXSUB_TUBE,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea28000066005297,A00453,
133,VX Lắp Ráp-Sub_Miết Lõi Sắt,VXSUB_MIETLOISAT,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea28000066005297,A00453,
134,VX Lắp Ráp-Main Auto_Chuẩn Bị Coil,VXAUTO_CHUANBICOIL,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,10,,,654dea19ea28000066005297,A00453,
135,VX Lắp Ráp-Main Auto_Siết Ốc,VXAUTO_SIETOC,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,50,,,654dea19ea28000066005297,A00453,
136,VX Lắp Ráp-Main Auto_Khắc Kiểm,VXAUTO_KHACKIEM,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,50,,,654dea19ea28000066005297,A00453,
137,VX Lắp Ráp-Main Auto_Hoàn Thiện,VXAUTO_HOANTHIEN,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,50,,,654dea19ea28000066005297,A00453,
138,VX Lắp Ráp-Main Auto_Ngoại Quan,VXAUTO_NGOAIQUAN,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,75,,,654dea19ea28000066005297,A00453,
